# c_function	status	detail   -- see api_coverage.py for what each status claims
csp_queue_create_static	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_dequeue	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_dequeue_isr	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_empty	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_enqueue	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_enqueue_isr	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_free	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_size	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_queue_size_isr	out-of-scope	arch shim; the port has no queues -- sans-io, the caller owns them
csp_get_ms	out-of-scope	arch shim; `now_ms` is a parameter, the core reads no clock
csp_get_ms_isr	out-of-scope	arch shim; `now_ms` is a parameter, the core reads no clock
csp_get_s	out-of-scope	arch shim; `now_ms` is a parameter, the core reads no clock
csp_get_s_isr	out-of-scope	arch shim; `now_ms` is a parameter, the core reads no clock
csp_can_socketcan_init	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_can_socketcan_open_and_add_interface	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_can_socketcan_stop	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_can_open_and_add_interface	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_can_set_rx_filter	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_can_stop	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_eth_init	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_eth_rx_loop	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_eth_tx_frame	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_usart_lock	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_usart_open	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_usart_open_and_add_kiss_interface	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_usart_unlock	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_usart_write	out-of-scope	src/drivers -- syscalls, not protocol (SCOPE.md)
csp_zmqhub_add_filters	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_fixup_cspv1_add_dest_addr	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_fixup_cspv1_del_dest_addr	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_init	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_init_filter2	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_init_w_endpoints	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_init_w_name_endpoints_rxfilter	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_make_endpoint	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_zmqhub_remove_filters	out-of-scope	ZeroMQ hub -- not in the agreed feature table
csp_conn_print_table	out-of-scope	printf-style diagnostics; the port returns data, the caller formats
csp_conn_print_table_str	out-of-scope	printf-style diagnostics; the port returns data, the caller formats
csp_iflist_print	out-of-scope	printf-style diagnostics; the port returns data, the caller formats
csp_rtable_print	out-of-scope	printf-style diagnostics; the port returns data, the caller formats
csp_print_func	out-of-scope	printf-style diagnostics; the port returns data, the caller formats
csp_yaml_init	deferred	`yaml` feature, off by default -- no C oracle available
csp_if_tun_init	deferred	`if-tun`; carries the two csp_crypto_* hooks
csp_bind_callback	deferred	callback delivery, deferred by decision (SCOPE.md)
csp_crypto_decrypt	deferred	if-tun's crypto hooks, with if-tun
csp_crypto_encrypt	deferred	if-tun's crypto hooks, with if-tun
csp_crc32_append	ported	csp_core::crc32::append
csp_crc32_final	ported	csp_core::crc32::finalize
csp_crc32_init	ported	csp_core::crc32::new
csp_crc32_memory	ported	csp_core::crc32::checksum
csp_crc32_update	ported	csp_core::crc32::update
csp_crc32_verify	ported	csp_core::crc32::verify
csp_sha1_done	ported	csp_core::sha1::finalize
csp_sha1_init	ported	csp_core::sha1::new
csp_sha1_memory	ported	csp_core::sha1::digest
csp_sha1_process	ported	csp_core::sha1::update
csp_hmac_append	ported	csp_core::hmac::append
csp_hmac_memory	ported	csp_core::hmac::mac
csp_hmac_set_key	ported	csp_core::hmac::derive_key
csp_hmac_verify	ported	csp_core::hmac::verify
csp_id_extract	ported	csp_core::id::Id::decode
csp_id_prepend	ported	csp_core::id::Id::encode
csp_id_strip	ported	csp::pool::Packet::set_frame
csp_id_setup_rx	ported	csp::pool::Packet::set_frame
csp_id_clear	out-of-scope	zeroes an id in place; Rust constructs a fresh `Id` instead of clearing one
csp_id_copy	out-of-scope	struct assignment; `Id` is `Copy`, so this is the `=` operator
csp_id_extract_fixup_cspv1	out-of-scope	ZeroMQ hub only -- little-endian v1 header, measured in difftest/tests/id_zmq_fixup.rs
csp_id_prepend_fixup_cspv1	out-of-scope	ZeroMQ hub only -- little-endian v1 header, measured in difftest/tests/id_zmq_fixup.rs
csp_id_strip_fixup_cspv1	out-of-scope	ZeroMQ hub only -- little-endian v1 header, measured in difftest/tests/id_zmq_fixup.rs
csp_id_get_header_size	ported	csp_core::id::Version::header_size
csp_id_get_host_bits	ported	csp_core::id::Version::host_bits
csp_id_get_max_nodeid	ported	csp_core::id::Version::max_node_id
csp_id_get_max_port	ported	csp_core::id::Version::max_port
csp_id_is_broadcast	ported	csp_core::id::Id::is_broadcast
csp_sfp_send	ported	csp_core::sfp::new
csp_sfp_recv	ported	csp_core::sfp::push
csp_sfp_recv_fp	ported	csp_core::sfp::push
csp_sfp_conn_max_mtu	ported	csp_core::sfp::max_mtu
csp_sfp_opts_max_mtu	ported	csp_core::sfp::max_mtu
csp_rtable_set	ported	csp_core::rtable::Table::set
csp_rtable_find_route	ported	csp_core::rtable::Table::find
csp_rtable_clear	ported	csp_core::rtable::Table::clear
csp_rtable_check	ported	csp_core::rtable::Table::parse
csp_rtable_iterate	ported	csp_core::rtable::Table::routes
csp_rtable_load	ported	csp_core::rtable::Table::parse
csp_rtable_save	ported	csp_core::rtable::Table::save
csp_rtable_free	ported	csp_core::rtable::Table::clear
csp_rtable_search_backward	ported	csp_core::rtable::Table::find_all
csp_cmp	ported	csp::client::cmp_request
csp_cmp_ident	ported	csp_core::cmp::parse_request
csp_cmp_route_set_v1	ported	csp_core::cmp::decode
csp_cmp_route_set_v2	ported	csp_core::cmp::decode
csp_cmp_if_stats	ported	csp_core::cmp::decode
csp_cmp_peek	ported	csp_core::cmp::decode
csp_cmp_peek_v2	ported	csp_core::cmp::decode
csp_cmp_poke	ported	csp_core::cmp::decode
csp_cmp_poke_v2	ported	csp_core::cmp::decode
csp_cmp_clock	ported	csp_core::cmp::decode
csp_cmp_memcpy	ported	csp::hooks::Hooks::mem_read
csp_cmp_memread64	ported	csp::hooks::Hooks::mem_read
csp_cmp_memwrite64	ported	csp::hooks::Hooks::mem_write
csp_cmp_set_memcpy	ported	csp::hooks::Hooks::mem_read
csp_cmp_set_memread64	ported	csp::hooks::Hooks::mem_read
csp_cmp_set_memwrite64	ported	csp::hooks::Hooks::mem_write
csp_clock_get_time	ported	csp::hooks::Hooks::clock
csp_clock_set_time	ported	csp::hooks::Hooks::set_clock
csp_input_hook	ported	csp::hooks::Hooks::on_input
csp_output_hook	ported	csp::hooks::Hooks::on_output
csp_memfree_hook	ported	csp::hooks::Hooks::mem_free
csp_ps_hook	ported	csp::hooks::Hooks::process_list
